groupid,name,estimate0,estimate1,estimate,lower,upper,prob1,prob2
9,san_jose,0.44440015945217004,0.44252579926294455,-0.001875941077833232,-0.012127991250930536,0.008719201249969347,0.373,0.746
9,seattle,0.4871962279073565,0.4847613529156891,-0.0025013071078991977,-0.014492255563889734,0.00917178938515154,0.33,0.66
10,austin,0.4762736488786,0.47408534531958524,-0.001766065359368435,-0.012139167478338937,0.00762467531384573,0.35,0.7
10,boston,0.4521784920033514,0.4508233553678834,-0.0014041538667474152,-0.01207150571199631,0.009490718399952913,0.39,0.78
10,charlotte,0.506354819119877,0.5055432410610123,-9.703535484472114e-4,-0.010879208435126691,0.009290539290055402,0.407,0.814
10,chicago,0.5118115720807279,0.5200474175457919,0.008204164211865927,0.0027530330589841585,0.013392541919243956,0,0
10,columbus,0.5595786307913286,0.5605870051878655,9.370980704157539e-4,-0.00814327298133304,0.009942012287371025,0.428,0.856
10,dallas,0.46851546423525825,0.4676436998792009,-9.64677226649141e-4,-0.008217115801353325,0.007027276945560056,0.4,0.8
10,dc,0.5056054319906267,0.5058267906923797,2.7023209634025047e-4,-0.011154412393611066,0.011304680417278386,0.481,0.962
10,denver,0.48598529966876647,0.4838366709019706,-0.0020701056184946054,-0.014031699508858061,0.010574437278817935,0.378,0.756
10,el_paso,0.4863693376907519,0.48175267194958216,-0.004612482506644255,-0.018067339939531718,0.008746209733026518,0.229,0.458
10,fort_worth,0.5038492791525508,0.5009009154405406,-0.0030454703560648944,-0.013176836474245054,0.008361767887564629,0.275,0.55
10,houston,0.4784132186275152,0.47808451626356996,-3.0444615576791234e-4,-0.00550977099572729,0.0050046853693405564,0.461,0.922
10,indianapolis,0.5365983340213605,0.5366523125052123,2.428266485904329e-5,-0.010041909424291055,0.010221072291046795,0.498,0.996
10,jacksonville,0.5376595026239622,0.5378414453622907,2.319684838429925e-4,-0.010831163445035765,0.011463131300799461,0.489,0.978
10,la,0.4404653582199058,0.44203644602929315,0.0015418374695581327,-0.0032810191564574607,0.006396600475734411,0.257,0.514
10,nashville,0.5193958610520535,0.5202079016306755,8.845988893955159e-4,-0.011525815766891956,0.012737756982969963,0.447,0.894
