place_id,name,lat,lng,type,term,categories,business_status,user_ratings_total
ChIJjfgzto5544kRC9pF1ojKMsk,Countway Library,42.33522,-71.10358409999999,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,20
ChIJJfrsc1V444kRf_hF8eJQTn4,Daniel J. Warren Playground,42.32909850000001,-71.1489131,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,7
ChIJjQepzC9_44kRZbFj5I6Vbog,Sugar Baking Co.,42.2856114,-71.1555693,Social Business,cafe,bakery; cafe; food; point_of_interest; store; establishment,OPERATIONAL,209
ChIJjQGcEfd544kRwLFbyHtPIgM,Fineman & Pappas Law Libraries,42.3509484,-71.1070991,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,3
ChIJJQIDxJh744kRiOhx1PjejOs,Adams-King Playground,42.29348969999999,-71.05692669999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,35
ChIJJRj6VMt-44kRDXY94gcdF2g,Dunkin',42.2879119,-71.12699119999999,Social Business,cafe,bakery; meal_takeaway; cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,333
ChIJjSKyECN_44kRNS0t_iqhu1k,Studio 1225,42.256204,-71.1228026,Community Space,community center,point_of_interest; establishment,CLOSED_TEMPORARILY,0
ChIJJSpDRoh544kROnX2g4ail2w,Parker Hill Branch of the Boston Public Library,42.3324519,-71.09906409999999,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,9
ChIJJTFXw1J644kRqtcznLfZAdU,Christ the Rock Church,42.3154164,-71.0594728,Place of Worship,place of worship,place_of_worship; point_of_interest; establishment,OPERATIONAL,5
ChIJjTJAN-p744kRR8Jy44j1mIw,Joy & Gladness Pentecostal Church,42.2969106,-71.0783281,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,1
ChIJjTMNT69w44kRSPoObzwdSX8,MIT Coop at Stratton,42.3590407,-71.09498219999999,Social Business,bookstore,book_store; point_of_interest; store; establishment,CLOSED_TEMPORARILY,176
ChIJJU9xtYRw44kRCoijB6airag,Thorndike Library,42.3593126,-71.0611102,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,0
ChIJJU9xtYRw44kRDbnSKgmJC90,Social Law Library,42.3592148,-71.0611283,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,2
ChIJJUaIIb1944kRY9TJTc1eXBs,big fun cafe,42.2659387,-71.0211108,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,40
ChIJJVeLUGR_44kRUxXQe-Hjb2o,Piemonte Park,42.2910226,-71.1635634,Park,park,park; point_of_interest; establishment,OPERATIONAL,0
ChIJjVvK3iR444kRZ3pt4R-1DUA,Arsenal Community Park and Skate Park,42.3610608,-71.1599124,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,182
ChIJJVYb7Jh_44kR69cs3svN7es,Midway,42.250982,-71.17045,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,309
ChIJjW05XDZu44kRYWV1LQwXc80,200 Governors Park,42.3827864,-70.9808001,Park,park,park; point_of_interest; establishment,OPERATIONAL,5
ChIJJweBdxF_44kRwHZQqR__CUU,the Square Root,42.2867616,-71.1304985,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,127
ChIJJweBdxF_44kRwHZQqR__CUU,the Square Root,42.2867616,-71.1304985,Park,square,cafe; food; point_of_interest; establishment,OPERATIONAL,127
ChIJjwlb4_V-44kRwof6iq36kb0,Fellowship Christian Church,42.2504801,-71.1266907,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,3
ChIJJWZ0h4J344kRbiE5vlou2ec,Asa Gray Garden,42.3744117,-71.14540769999999,Park,fountain,tourist_attraction; park; point_of_interest; establishment,OPERATIONAL,3
ChIJJX0bw6B544kRQ3Awz1IqFYI,Clark Playground,42.3275297,-71.12581990000001,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,60
